# Generated by build_examples.py. Columns: polish <TAB> english <TAB> sentence.
być	to be	Chcę **być** lekarzem.
zimny	cold	Piję **zimną** wodę.
gorący	hot	To jest **gorąca** herbata.
biały	white	Mam **białą** koszulę.
czarny	black	Kot jest **czarny**.
czerwony	red	Lubię **czerwony** kolor.
zielony	green	To jest **zielona** trawa.
niebieski	blue	Mam **niebieski** plecak.
żółty	yellow	To jest **żółty** kwiat.
szary	gray	Mam **szary** płaszcz.
brązowy	brown	To jest **brązowy** stół.
różowy	pink	Mam **różowy** plecak.
pomarańczowy	orange	To jest **pomarańczowy** sok.
długi	long	Mam **długi** stół.
krótki	short	To jest **krótki** film.
wysoki	tall	Mój brat jest **wysoki**.
niski	low, short	To jest **niski** stolik.
szeroki	wide	Ta droga jest **szeroka**.
wąski	narrow	Ten korytarz jest **wąski**.
gruby	fat	Ten kot jest **gruby**.
cienki	thin	Ta książka jest **cienka**.
ciężki	heavy	Ten plecak jest **ciężki**.
lekki	light (weight)	To pudełko jest **lekkie**.
mocny	strong	Mam **mocny** głos.
słaby	weak	Dziś jestem **słaby**.
stary	old	Mój pies jest **stary**.
młody	young	Ona jest **młoda**.
piękny	beautiful	To jest **piękny** kwiat.
brzydki	ugly	Ten dom jest **brzydki**.
ładny	pretty	Masz **ładny** sweter.
miły	nice	Mój sąsiad jest **miły**.
zły	bad	To jest **zły** pomysł.
wesoły	cheerful	Dziecko jest **wesołe**.
smutny	sad	Jestem **smutny** dziś.
szczęśliwy	happy	Ona jest **szczęśliwa**.
zmęczony	tired	Po pracy jestem **zmęczony**.
głodny	hungry	Jestem **głodny** po szkole.
spragniony	thirsty	Po bieganiu jestem **spragniony**.
chory	sick	Ona jest dziś **chora**.
zdrowy	healthy	Mój brat jest **zdrowy**.
ważny	important	To jest **ważny** dzień.
ciekawy	interesting	To jest **ciekawy** film.
nudny	boring	Ten film jest **nudny**.
łatwy	easy	To zadanie jest **łatwe**.
trudny	difficult	Ten test jest **trudny**.
możliwy	possible	To jest **możliwe** jutro.
prawdziwy	true	To jest **prawdziwe**.
pewny	certain	Jestem **pewny** odpowiedzi.
gotowy	ready	Jestem **gotowy** do wyjścia.
wolny	free	Mam **wolny** czas.
zajęty	occupied	Jestem teraz **zajęty**.
otwarty	open	Sklep jest **otwarty**.
zamknięty	closed	Sklep jest **zamknięty**.
pusty	empty	Szklanka jest **pusta**.
pełny	full	Kubek jest **pełny** herbaty.
czysty	clean	To jest **czysty** stół.
brudny	dirty	Moje buty są **brudne**.
głowa boli	my head hurts	Dziś **głowa boli** mnie.
lekarz	doctor	Mój **lekarz** jest miły.
szpital	hospital	On jest w **szpitalu**.
apteka	pharmacy	Idę do **apteki**.
lekarstwo	medicine	Biorę **lekarstwo** rano.
ból	pain	Mam **ból** głowy.
choroba	disease	Ta **choroba** jest groźna.
zdrowie	health	Dbam o **zdrowie**.
ciało	body	Myję **ciało** codziennie.
serce	heart	Moje **serce** bije szybko.
noga	leg	Boli mnie **noga**.
palec	finger	Mam skaleczony **palec**.
ucho	ear	Boli mnie **ucho**.
nos	nose	Mój **nos** jest zimny.
usta	mouth	Otwórz **usta**.
ząb	tooth	Boli mnie **ząb**.
włosy	hair	Mam długie **włosy**.
twarz	face	Myję **twarz** rano.
plecy	back	Boli mnie **plecy**.
brzuch	belly	Mój **brzuch** jest pełny.
krew	blood	Widzę **krew**.
skóra	skin	Moja **skóra** jest sucha.
kość	bone	Złamałem **kość**.
ubranie	clothes	To **ubranie** jest nowe.
koszula	shirt	Ta **koszula** jest biała.
spodnie	pants	Moje **spodnie** są czarne.
sukienka	dress	Ma czerwoną **sukienkę**.
spódnica	skirt	Ta **spódnica** jest krótka.
kurtka	jacket	Zakładam **kurtkę**.
płaszcz	coat	Mam nowy **płaszcz**.
sweter	sweater	Mam ciepły **sweter**.
buty	shoes	Moje **buty** są czarne.
czapka	hat	Ta **czapka** jest czerwona.
szalik	scarf	Mój **szalik** jest długi.
rękawiczki	gloves	Mam ciepłe **rękawiczki**.
skarpetki	socks	Moje **skarpetki** są białe.
pokój	room	Ten **pokój** jest duży.
kuchnia	kitchen	Nasza **kuchnia** jest mała.
łazienka	bathroom	Idę do **łazienki**.
sypialnia	bedroom	Moja **sypialnia** jest jasna.
salon	living room	W **salonie** stoi sofa.
okno	window	Otwieram **okno**.
drzwi	door	Te **drzwi** są zamknięte.
ściana	wall	Na **ścianie** wisi obraz.
podłoga	floor	Na **podłodze** leży piłka.
sufit	ceiling	Na **suficie** jest lampa.
stół	table	Książka leży na **stole**.
krzesło	chair	To **krzesło** jest wygodne.
łóżko	bed	Na **łóżku** leży kot.
szafa	wardrobe	Moja **szafa** jest pełna.
lampa	lamp	Ta **lampa** świeci jasno.
lodówka	refrigerator	W **lodówce** jest mleko.
kuchenka	stove	Na **kuchenке** gotuję zupę.
zlew	sink	W **zlewie** są talerze.
talerz	plate	Na stole leży **talerz**.
kubek	mug	Mam nowy **kubek**.
szklanka	glass	Woda jest w **szklance**.
widelec	fork	Mam **widelec** przy talerzu.
nóż	knife	Ten **nóż** jest ostry.
łyżka	spoon	Mieszam zupę **łyżką**.
garnek	pot	Zupa gotuje się w **garnku**.
patelnia	frying pan	Smażę jajka na **patelni**.
komputer	computer	Mój **komputer** jest nowy.
telefon	phone	Dzwoni mój **telefon**.
internet	internet	Szukam tego w **internecie**.
strona internetowa	website	Ta **strona internetowa** jest prosta.
hasło	password	Zapomniałem swoje **hasło**.
plik	file	Otwieram **plik** na komputerze.
program	programme	Ten **program** jest dobry.
ekran	screen	Na **ekranie** widać mapę.
klawiatura	keyboard	Moja **klawiatura** nie działa.
myszka	mouse	**Myszka** leży obok komputera.
drukarka	printer	**Drukarka** drukuje zdjęcie.
biuro	office	Pracuję w **biurze**.
dokument	document	Podpisuję **dokument**.
podpis	signature	Mój **podpis** jest na dole.
list	letter	Dostałem **list** od babci.
koperta	envelope	List jest w **kopercie**.
paczka	package	Czekam na **paczkę**.
poczta	post	Idę na **pocztę** po list.
bank	bank	Mam konto w **banku**.
konto	account	Sprawdzam **konto** w telefonie.
karta	card	Płacę **kartą** w sklepie.
gotówka	cash	Mam tylko trochę **gotówki**.
rachunek	bill	Proszę o **rachunek**.
podatek	tax	Płacę **podatek** co miesiąc.
kredyt	loan	Bierzemy **kredyt** na mieszkanie.
oszczędzać	to save (money)	Chcę **oszczędzać** na rower.
zarabiać	to earn money	Chcę **zarabiać** więcej.
wydawać	to spend	Nie chcę **wydawać** dużo.
lotnisko	airport	Jedziemy na **lotnisko**.
dworzec	station	Spotkajmy się na **dworcu**.
przystanek	stop	Czekam na **przystanku**.
bilet	ticket	Mam **bilet** na pociąg.
bagaż	luggage	Mój **bagaż** jest ciężki.
walizka	suitcase	Ta **walizka** jest duża.
paszport	passport	Mam **paszport** w kieszeni.
hotel	hotel	Śpimy w **hotelu**.
recepcja	reception	Pytam w **recepcji**.
klucz	key	Gdzie jest mój **klucz**?
rezerwacja	reservation	Mam **rezerwację** na dziś.
wakacje	holidays	Jedziemy na **wakacje**.
podróż	journey	To długa **podróż**.
wycieczka	trip	W sobotę mam **wycieczkę**.
zwiedzać	to explore	Lubię **zwiedzać** stare miasta.
mapa	map	Patrzę na **mapę**.
lewo	left	Skręć w **lewo**.
prawo	right (direction)	Skręć w **prawo**.
prosto	straight	Idź **prosto**.
blisko	close	Mieszkam **blisko** szkoły.
daleko	far	Szkoła jest **daleko**.
północ	midnight	Obudziłem się o **północy**.
południe	south	Na **południe** jest ciepło.
wschód	east	Słońce wschodzi na **wschodzie**.
zachód	west	Słońce zachodzi na **zachodzie**.
policja	police	Dzwonię na **policję**.
policjant	policeman	**Policjant** pyta o drogę.
straż pożarna	fire brigade	Dzwonimy po **straż pożarną**.
pogotowie	emergency service	Wezwij **pogotowie**.
wypadek	accident	Był **wypadek** na drodze.
niebezpieczny	dangerous	To jest **niebezpieczne** miejsce.
bezpieczny	safe	Tu jest **bezpiecznie**.
ratować	to rescue	Lekarz chce **ratować** dziecko.
uwaga	attention	**Uwaga** na schody!
sąd	court	Sprawa jest w **sądzie**.
adwokat	advocate	Mój **adwokat** mówi spokojnie.
świadek	witness	**Świadek** widział wszystko.
kara	penalty	Za to jest **kara**.
wina	guilt, fault	To moja **wina**.
kradzież	theft	To była **kradzież** w sklepie.
przestępstwo	offense	To poważne **przestępstwo**.
wybory	elections	Za tydzień są **wybory**.
prezydent	president	Nasz **prezydent** mówi dziś.
minister	minister	**Minister** podpisał dokument.
partia	party (political)	Ta **partia** ma wielu wyborców.
głosować	to vote	Chcę **głosować** jutro.
obywatel	citizen	Każdy **obywatel** ma prawa.
granica	border	To jest **granica** kraju.
uniwersytet	university	Idę na **uniwersytet**.
wykład	lecture	Mamy dziś **wykład**.
profesor	professor	**Profesor** jest miły.
studia	studies	Moje **studia** są trudne.
dyplom	diploma	Dostałem **dyplom**.
stopień	degree	Mam wyższy **stopień**.
biblioteka	library	Czytam w **bibliotece**.
sala	hall, room	Spotkanie jest w dużej **sali**.
tablica	board	Nauczyciel pisze na **tablicy**.
kreda	chalk	**Kreda** jest biała.
plecak	backpack	Mój **plecak** jest ciężki.
piórnik	pencil box	Mam nowy **piórnik**.
linijka	ruler	Potrzebuję **linijki**.
gumka	rubber	Zgubiłem **gumkę**.
nożyczki	scissors	Potrzebuję **nożyczek**.
przerwa	break	Mamy teraz **przerwę**.
ocena	rate	Dostałem dobrą **ocenę**.
sprawdzian	test	Jutro mam **sprawdzian** z matematyki.
praca domowa	homework	Mam dziś dużo **pracy domowej**.
powtarzać	to repeat	Muszę **powtarzać** słówka.
notatka	note	Zrobiłem krótką **notatkę**.
zapisywać	to write down	**Zapisuję** nowe słowa.
tłumaczyć	to translate	Proszę, **tłumacz** to wolniej.
ćwiczenie	exercise	To **ćwiczenie** jest trudne.
błąd	mistake	To był mały **błąd**.
poprawiać	to improve	Muszę **poprawiać** swój polski.
wiedza	knowledge	Twoja **wiedza** jest duża.
nauka	science	**Nauka** jest ważna.
zawód	occupation	Mój **zawód** jest ciekawy.
inżynier	engineer	Mój brat jest **inżynierem**.
kierowca	driver	Mój tata jest **kierowcą**.
sprzedawca	seller	Ten **sprzedawca** jest miły.
kucharz	cook	Mój wujek jest **kucharzem**.
kelner	waiter	Ten **kelner** przyniósł wodę.
fryzjer	hairdresser	Mój **fryzjer** jest dobry.
mechanik	mechanic	Ten **mechanik** naprawił auto.
rolnik	farmer	Ten **rolnik** ma krowy.
pielęgniarka	nurse	Ta **pielęgniarka** pomaga pacjentom.
dentysta	dentist	Mój **dentysta** jest miły.
architekt	architect	Ten **architekt** projektuje dom.
dziennikarz	journalist	Ten **dziennikarz** pisze o mieście.
artysta	artist	Mój brat jest **artystą**.
aktor	actor	Ten **aktor** gra dobrze.
muzyk	musician	Ten **muzyk** gra na gitarze.
pisarz	writer	Ten **pisarz** lubi kawę.
naukowiec	scientist	Ten **naukowiec** bada rośliny.
programista	programmer	Mój **programista** pisze kod.
sprzedaż	sale	Nasza **sprzedaż** rośnie.
zysk	profit	Firma ma duży **zysk**.
strata	loss	To była duża **strata**.
rynek	market	Na **rynku** jest dużo ludzi.
konkurencja	competition	Ta **konkurencja** jest silna.
reklama	advertisement	Ta **reklama** jest na ulicy.
oferta	offer	Twoja **oferta** jest dobra.
zamówienie	order	Moje **zamówienie** już przyszło.
dostawa	delivery	Ta **dostawa** będzie jutro.
faktura	invoice	Ta **faktura** jest na stole.
negocjacje	negotiations	**Negocjacje** trwają długo.
prezentacja	presentation	Moja **prezentacja** jest gotowa.
raport	report	Szef czyta **raport**.
protokół	protocol	Ten **protokół** jest ważny.
termin	deadline	Mamy krótki **termin**.
harmonogram	schedule	Nasz **harmonogram** jest pełny.
kalendarz	calendar	Mój **kalendarz** jest pusty.
notes	notepad	Mam **notes** w torbie.
biurko	desk	Na **biurku** leży komputer.
teczka	folder	Wkładam dokumenty do **teczki**.
segregator	binder	Mam nowe papiery w **segregatorze**.
kod	code	Wpisuję **kod** do telefonu.
funkcja	function	Ta **funkcja** jest bardzo przydatna.
zmienna	variable	Ta **zmienna** ma nową wartość.
pętla	loop	Ta **pętla** działa bez końca.
baza danych	database	Ta **baza danych** jest pełna.
serwer	server	Ten **serwer** jest dziś wolny.
sieć	network	Nasza **sieć** działa dobrze.
przeglądarka	browser	Otwieram stronę w **przeglądarce**.
wyszukiwarka	search engine	Szukam hasła w **wyszukiwarce**.
pobierać	to download	Muszę **pobierać** nową aplikację.
wysyłać	to send	Chcę **wysyłać** maila.
zapisać	to save	Chcę **zapisać** ten plik.
usuwać	to delete	Muszę **usuwać** stare wiadomości.
kopiować	to copy	Chcę **kopiować** ten tekst.
wklejać	to paste	Teraz mogę **wklejać** tekst.
aplikacja	app	Ta **aplikacja** jest bardzo prosta.
powiadomienie	notification	Dostałem **powiadomienie** na telefon.
ładowarka	charger	Moja **ładowarka** jest w torbie.
bateria	battery	Ta **bateria** jest prawie pusta.
głośnik	loudspeaker	Ten **głośnik** gra bardzo głośno.
słuchawki	headphones	Mam nowe **słuchawki**.
aparat	apparatus	Mój **aparat** robi dobre zdjęcia.
zdjęcie	photo	To **zdjęcie** jest piękne.
nagranie	recording	To **nagranie** jest bardzo dobre.
koncert	concert	Idę dziś na **koncert**.
zespół	band, team	Mój **zespół** wygrał mecz.
instrument	instrument	To jest mój **instrument**.
gitara	guitar	Mam nową **gitarę**.
pianino	piano	W salonie stoi **pianino**.
skrzypce	violin	Moje **skrzypce** są stare.
bęben	drum	Dziecko bije w **bęben**.
głos	voice	Masz piękny **głos**.
śpiewać	to sing	Lubię **śpiewać** rano.
grać	to play	Dzieci chcą **grać** w piłkę.
tańczyć	to dance	Oni lubią **tańczyć** razem.
kino	cinema	Wieczorem idę do **kina**.
teatr	theater	Dziś jest przedstawienie w **teatrze**.
scena	scene	Na **scenie** stoi aktor.
reżyser	director	Ten **reżyser** jest znany.
rola	role	Moja **rola** jest ważna.
widz	spectator	Każdy **widz** klaskał.
bilet do kina	cinema ticket	Kupiłem **bilet do kina**.
powieść	novel	Czytam ciekawą **powieść**.
